Tamanho,Algoritmo,Tipo_Entrada,Tempo(s)
20000,ShellSort,Decrescente,0.0010
20000,SelectionSort,Aleatorio,0.1750
20000,SelectionSort,Crescente,0.1730
20000,SelectionSort,Decrescente,0.2220
20000,HeapSort,Aleatorio,0.0030
20000,HeapSort,Crescente,0.0020
20000,HeapSort,Decrescente,0.0020
20000,MergeSort,Aleatorio,0.0030
20000,MergeSort,Crescente,0.0010
20000,MergeSort,Decrescente,0.0020
25000,BubbleSortClassico,Aleatorio,1.0440
25000,BubbleSortClassico,Crescente,0.6660
25000,BubbleSortClassico,Decrescente,1.0650
25000,BubbleSortMelhorado,Aleatorio,1.0550
25000,BubbleSortMelhorado,Crescente,0.0000
25000,BubbleSortMelhorado,Decrescente,1.0650
25000,QuickSortInicio,Aleatorio,0.0020
25000,QuickSortInicio,Crescente,0.1720
25000,QuickSortInicio,Decrescente,0.1700
25000,QuickSortMeio,Aleatorio,0.0020
25000,QuickSortMeio,Crescente,0.0010
25000,QuickSortMeio,Decrescente,0.0000
25000,InsertionSort,Aleatorio,0.2330
25000,InsertionSort,Crescente,0.0000
25000,InsertionSort,Decrescente,0.4610
25000,ShellSort,Aleatorio,0.0030
25000,ShellSort,Crescente,0.0000
25000,ShellSort,Decrescente,0.0010
25000,SelectionSort,Aleatorio,0.2730
25000,SelectionSort,Crescente,0.2730
25000,SelectionSort,Decrescente,0.3480
25000,HeapSort,Aleatorio,0.0030
25000,HeapSort,Crescente,0.0030
25000,HeapSort,Decrescente,0.0030
25000,MergeSort,Aleatorio,0.0030
25000,MergeSort,Crescente,0.0020
25000,MergeSort,Decrescente,0.0020
30000,BubbleSortClassico,Aleatorio,1.6250
30000,BubbleSortClassico,Crescente,0.9590
30000,BubbleSortClassico,Decrescente,1.5370
30000,BubbleSortMelhorado,Aleatorio,1.6280
30000,BubbleSortMelhorado,Crescente,0.0000
30000,BubbleSortMelhorado,Decrescente,1.5400
30000,QuickSortInicio,Aleatorio,0.0020
30000,QuickSortInicio,Crescente,0.2480
30000,QuickSortInicio,Decrescente,0.2450
30000,QuickSortMeio,Aleatorio,0.0020
30000,QuickSortMeio,Crescente,0.0010
30000,QuickSortMeio,Decrescente,0.0000
30000,InsertionSort,Aleatorio,0.3310
30000,InsertionSort,Crescente,0.0000
30000,InsertionSort,Decrescente,0.6660
30000,ShellSort,Aleatorio,0.0040
30000,ShellSort,Crescente,0.0010
30000,ShellSort,Decrescente,0.0010
30000,SelectionSort,Aleatorio,0.3900
30000,SelectionSort,Crescente,0.3910
30000,SelectionSort,Decrescente,0.4980
30000,HeapSort,Aleatorio,0.0040
30000,HeapSort,Crescente,0.0030
30000,HeapSort,Decrescente,0.0040
30000,MergeSort,Aleatorio,0.0050
30000,MergeSort,Crescente,0.0020
30000,MergeSort,Decrescente,0.0020
